Designator,Mid X,Mid Y,Rotation,Layer
C1,8.951875,-20.790263,270.0,top
C10,2.9,-12.9125,270.0,bottom
C11,6.8875,-7.3,180.0,top
C12,-46.910625,-18.952763,0.0,top
C13,-43.560625,-18.952763,180.0,top
C14,-36.660625,-21.952763,180.0,top
C15,3.0625,-7.3,0.0,top
C16,-23.775,-5.725,270.0,top
C17,-38.448125,-30.552763,90.0,top
C18,-9.610625,-26.902763,0.0,bottom
C19,-30.348125,-24.702763,0.0,bottom
C2,-1.498125,-21.115263,270.0,top
C20,-8.75,-29.465263,270.0,bottom
C21,-5.65,-29.465263,270.0,bottom
C22,-12.498125,-32.202763,180.0,bottom
C23,-26.210625,-31.652763,0.0,top
C24,-24.010625,-29.152763,0.0,top
C25,-32.2625,-33.05,0.0,top
C26,-24.010625,-27.602763,0.0,top
C27,-12.985625,-26.902763,180.0,bottom
C28,0.989375,-32.752763,180.0,top
C3,-24.010625,-24.502763,0.0,top
C30,-24.010625,-26.052763,0.0,top
C31,-3.148125,-16.552763,0.0,top
C32,-1.5,-27.8,270.0,top
C33,-17.660625,-17.952763,0.0,top
C34,8.901875,-25.952763,270.0,top
C4,-23.848125,-26.702763,180.0,bottom
C7,-25.398125,-15.390263,270.0,top
C8,-40.698125,-15.402763,270.0,top
C9,7.5,-12.9,90.0,bottom
D10,-27.0,-2.275,90.0,top
D9,-25.375,-2.275,90.0,top
J1,-44.498125,-26.702763,0.0,top
J2,-10.948125,-3.102763,180.0,top
J3,3.701875,-24.027763,90.0,top
L2,-36.148125,-33.15,0.0,top
R1,-31.423125,-19.752763,180.0,top
R10,-27.0,-5.725,270.0,top
R11,-7.2,-29.465263,270.0,bottom
R12,-6.225,-26.902763,180.0,bottom
R13,-12.0,-29.465263,90.0,bottom
R14,-15.1,-29.465263,90.0,bottom
R15,-13.55,-29.465263,90.0,bottom
R16,0.976875,-31.202763,180.0,top
R17,-7.248125,-17.452763,270.0,top
R18,-8.798125,-17.452763,270.0,top
R19,-5.698125,-17.452763,270.0,top
R2,-23.098125,-22.052763,90.0,top
R20,-1.5,-31.2,90.0,top
R21,8.901875,-29.377763,90.0,top
R22,-21.75,-11.7,0.0,top
R23,-21.75,-10.1,0.0,top
R3,-28.048125,-19.752763,0.0,top
R4,-26.223125,-33.202763,180.0,top
R5,-15.875,-32.852763,180.0,top
R6,-15.875,-31.302763,180.0,top
R7,-19.325,-24.0,0.0,bottom
R8,-19.325,-25.55,0.0,bottom
R9,-25.375,-5.725,270.0,top
TR1,-10.395,-24.817763,90.0,top
U2,5.2,-12.9,270.0,top
U3,-31.398125,-27.040263,0.0,top
Y1,-33.05,-16.35,0.0,top
